%time soc i_tot i_mcu i_rf i_pv v_pv real_i_pv i_batt v_batt i_air_quality_sensor i_methane_sensor i_temperature_sensor i_mic_click_sensor
120 0.999857628142 66.653 0.002 0.001 0 0 0 0.0259464687535 4.56900505266 48.2 18 0.3 0.15
121 0.99985762589 66.653 0.002 0.001 0 0 0 52.7609998564 4.57094508155 48.2 18 0.3 0.15
122 0.99985533479 66.653 0.002 0.001 0 0 0 52.7386067053 4.57091215353 48.2 18 0.3 0.15
123 0.999850755814 66.653 0.002 0.001 0 0 0 52.7389866246 4.57087998684 48.2 18 0.3 0.15
124 0.999846177793 66.653 0.002 0.001 0 0 0 52.7393577651 4.57084782111 48.2 18 0.3 0.15
125 0.99984159974 66.653 0.002 0.001 0 0 0 52.7397288997 4.57081565663 48.2 18 0.3 0.15
126 0.999837021655 66.355 0.002 0.001 0 0 0 52.7401000252 4.57078349339 48.2 18 0.002 0.15
127 0.999832443537 66.355 0.002 0.001 0 0 0 52.5068799988 4.57074274237 48.2 18 0.002 0.15
128 0.999827875526 66.355 0.002 0.001 0 0 0 52.5073481304 4.57071072809 48.2 18 0.002 0.15
129 0.999823317617 66.355 0.002 0.001 0 0 0 52.5077159036 4.5706787117 48.2 18 0.002 0.15
130 0.999818759671 66.355 0.002 0.001 0 0 0 52.5080837062 4.57064669655 48.2 18 0.002 0.15
131 0.999814201694 66.355 0.002 0.001 0 0 0 52.5084514997 4.57061468263 48.2 18 0.002 0.15
132 0.999809643685 66.207 0.002 0.001 0 0 0 52.5088192842 4.57058266995 48.2 18 0.002 0.002
133 0.999805085643 66.207 0.002 0.001 0 0 0 52.3931629547 4.57054639475 48.2 18 0.002 0.002
134 0.999800532606 66.207 0.002 0.001 0 0 0 52.3935787852 4.57051445726 48.2 18 0.002 0.002
135 0.99979598457 66.207 0.002 0.001 0 0 0 52.393944897 4.57048251934 48.2 18 0.002 0.002
136 0.999791436501 66.207 0.002 0.001 0 0 0 52.3943110188 4.57045058266 48.2 18 0.002 0.002
137 0.999786888399 66.207 0.002 0.001 0 0 0 52.3946771317 4.5704186472 48.2 18 0.002 0.002
138 0.999782340266 66.207 0.002 0.001 0 0 0 52.3950432355 4.57038671297 48.2 18 0.002 0.002
139 0.999777792101 66.207 0.002 0.001 0 0 0 52.3954093304 4.57035477998 48.2 18 0.002 0.002
140 0.999773243904 66.207 0.002 0.001 0 0 0 52.3957754163 4.57032284821 48.2 18 0.002 0.002
141 0.999768695676 66.207 0.002 0.001 0 0 0 52.3961414933 4.57029091767 48.2 18 0.002 0.002
142 0.999764147416 66.207 0.002 0.001 0 0 0 52.3965075612 4.57025898836 48.2 18 0.002 0.002
143 0.999759599124 66.207 0.002 0.001 0 0 0 52.3968736202 4.57022706028 48.2 18 0.002 0.002
144 0.9997550508 66.207 0.002 0.001 0 0 0 52.3972396702 4.57019513343 48.2 18 0.002 0.002
145 0.999750502444 66.207 0.002 0.001 0 0 0 52.3976057112 4.57016320781 48.2 18 0.002 0.002
146 0.999745954057 66.207 0.002 0.001 0 0 0 52.3979717432 4.57013128341 48.2 18 0.002 0.002
147 0.999741405638 66.207 0.002 0.001 0 0 0 52.3983377663 4.57009936025 48.2 18 0.002 0.002
148 0.999736857187 66.207 0.002 0.001 0 0 0 52.3987037804 4.57006743832 48.2 18 0.002 0.002
149 0.999732308704 66.207 0.002 0.001 0 0 0 52.3990697855 4.57003551761 48.2 18 0.002 0.002
150 0.999727760189 0.011 0.002 0.001 0 0 0 52.3994357816 4.57000359813 0.002 0.002 0.002 0.002
151 0.999723211643 13.009 13 0.001 0 0 0 0.0259407995413 4.56805023563 0.002 0.002 0.002 0.002
152 0.999720936236 13.009 13 0.001 0 0 0 10.3036526977 4.56842726142 0.002 0.002 0.002 0.002
153 0.999720487903 13.009 13 0.001 0 0 0 10.302802352 4.56842098332 0.002 0.002 0.002 0.002
154 0.999719593526 13.009 13 0.001 0 0 0 10.3028165105 4.56841473403 0.002 0.002 0.002 0.002
155 0.999718699185 13.009 13 0.001 0 0 0 10.302830604 4.56840848479 0.002 0.002 0.002 0.002
156 0.999717804842 13.009 13 0.001 0 0 0 10.3028446976 4.56840223559 0.002 0.002 0.002 0.002
157 0.999716910499 0.011 0.002 0.001 0 0 0 10.302858791 4.56839598644 0.002 0.002 0.002 0.002
158 0.999716016154 0.11 0.002 0.1 0 0 0 0.0259499280697 4.56801276284 0.002 0.002 0.002 0.002
159 0.999715567855 0.11 0.002 0.1 0 0 0 0.104495129704 4.56801562825 0.002 0.002 0.002 0.002
160 0.999715562193 0.11 0.002 0.1 0 0 0 0.104495064157 4.56801556493 0.002 0.002 0.002 0.002
161 0.999715553123 0.11 0.002 0.1 0 0 0 0.104495065605 4.56801550162 0.002 0.002 0.002 0.002
162 0.999715544052 0.11 0.002 0.1 0 0 0 0.104495067053 4.5680154383 0.002 0.002 0.002 0.002
163 0.999715534981 0.11 0.002 0.1 0 0 0 0.104495068502 4.56801537499 0.002 0.002 0.002 0.002
164 0.99971552591 0.11 0.002 0.1 0 0 0 0.10449506995 4.56801531167 0.002 0.002 0.002 0.002
165 0.99971551684 0.11 0.002 0.1 0 0 0 0.104495071398 4.56801524835 0.002 0.002 0.002 0.002
166 0.999715507769 0.11 0.002 0.1 0 0 0 0.104495072847 4.56801518504 0.002 0.002 0.002 0.002
167 0.999715498698 0.11 0.002 0.1 0 0 0 0.104495074295 4.56801512172 0.002 0.002 0.002 0.002
168 0.999715489627 0.11 0.002 0.1 0 0 0 0.104495075744 4.56801505841 0.002 0.002 0.002 0.002
169 0.999715480557 0.11 0.002 0.1 0 0 0 0.104495077192 4.56801499509 0.002 0.002 0.002 0.002
170 0.999715471486 0.11 0.002 0.1 0 0 0 0.10449507864 4.56801493178 0.002 0.002 0.002 0.002
171 0.999715462415 0.11 0.002 0.1 0 0 0 0.104495080089 4.56801486846 0.002 0.002 0.002 0.002
172 0.999715453344 0.11 0.002 0.1 0 0 0 0.104495081537 4.56801480515 0.002 0.002 0.002 0.002
173 0.999715444274 0.11 0.002 0.1 0 0 0 0.104495082985 4.56801474183 0.002 0.002 0.002 0.002
174 0.999715435203 0.11 0.002 0.1 0 0 0 0.104495084434 4.56801467851 0.002 0.002 0.002 0.002
175 0.999715426132 0.11 0.002 0.1 0 0 0 0.104495085882 4.5680146152 0.002 0.002 0.002 0.002
176 0.999715417061 0.11 0.002 0.1 0 0 0 0.104495087331 4.56801455188 0.002 0.002 0.002 0.002
177 0.999715407991 0.11 0.002 0.1 0 0 0 0.104495088779 4.56801448857 0.002 0.002 0.002 0.002
178 0.99971539892 0.11 0.002 0.1 0 0 0 0.104495090227 4.56801442525 0.002 0.002 0.002 0.002
179 0.999715389849 0.11 0.002 0.1 0 0 0 0.104495091676 4.56801436194 0.002 0.002 0.002 0.002
180 0.999715380778 0.11 0.002 0.1 0 0 0 0.104495093124 4.56801429862 0.002 0.002 0.002 0.002
181 0.999715371708 0.11 0.002 0.1 0 0 0 0.104495094572 4.56801423531 0.002 0.002 0.002 0.002
182 0.999715362637 0.011 0.002 0.001 0 0 0 0.104495096021 4.56801417199 0.002 0.002 0.002 0.002
183 0.999715353566 0.011 0.002 0.001 0 0 0 0.0259520970773 4.56801122763 0.002 0.002 0.002 0.002
184 0.999715347904 0.011 0.002 0.001 0 0 0 0.0259521138051 4.5680112119 0.002 0.002 0.002 0.002
185 0.999715345651 0.011 0.002 0.001 0 0 0 0.0259521138944 4.56801119618 0.002 0.002 0.002 0.002
186 0.999715343399 0.011 0.002 0.001 0 0 0 0.0259521139837 4.56801118045 0.002 0.002 0.002 0.002
187 0.999715341146 0.011 0.002 0.001 0 0 0 0.0259521140731 4.56801116473 0.002 0.002 0.002 0.002
188 0.999715338893 0.011 0.002 0.001 0 0 0 0.0259521141624 4.568011149 0.002 0.002 0.002 0.002
189 0.99971533664 0.011 0.002 0.001 0 0 0 0.0259521142517 4.56801113328 0.002 0.002 0.002 0.002
190 0.999715334388 0.011 0.002 0.001 0 0 0 0.0259521143411 4.56801111755 0.002 0.002 0.002 0.002
191 0.999715332135 0.011 0.002 0.001 0 0 0 0.0259521144304 4.56801110183 0.002 0.002 0.002 0.002
192 0.999715329882 0.011 0.002 0.001 0 0 0 0.0259521145197 4.5680110861 0.002 0.002 0.002 0.002
193 0.999715327629 0.011 0.002 0.001 0 0 0 0.0259521146091 4.56801107038 0.002 0.002 0.002 0.002
194 0.999715325376 0.011 0.002 0.001 0 0 0 0.0259521146984 4.56801105466 0.002 0.002 0.002 0.002
195 0.999715323124 0.011 0.002 0.001 0 0 0 0.0259521147878 4.56801103893 0.002 0.002 0.002 0.002
196 0.999715320871 0.011 0.002 0.001 0 0 0 0.0259521148771 4.56801102321 0.002 0.002 0.002 0.002
197 0.999715318618 0.011 0.002 0.001 0 0 0 0.0259521149664 4.56801100748 0.002 0.002 0.002 0.002
198 0.999715316365 0.011 0.002 0.001 0 0 0 0.0259521150558 4.56801099176 0.002 0.002 0.002 0.002
